Molecule,QED,LogP,SA
1output_25_Fragments_.xyz,0.049651283700034916,0.9152300000000007,6.668530202253828
1output_219_Fragments_.xyz,0.06905463656801886,-1.4581599999999981,6.893936611008654
1output_44_Fragments_.xyz,0.028535761648307813,-2.0460800000000003,7.294937688210852
1output_141_Fragments_.xyz,0.1989601922765623,-0.5410899999999981,8.489980588841819
1output_170_Fragments_.xyz,0.03560184201455548,0.9662400000000004,6.605039126700343
1output_42_Fragments_.xyz,0.04047274628615773,0.4750300000000002,7.6891313025428225
1output_70_Fragments_.xyz,0.03513711702118374,0.8991500000000001,6.58040241745376
1output_281_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
1output_354_Fragments_.xyz,0.028822006116113554,-3.1205499999999993,6.2196185698305975
1output_265_Fragments_.xyz,0.03598760185575363,-2.7100699999999978,6.587044525498291
2output_172_Fragments_.xyz,0.03420684396443197,-0.7109300000000001,5.871886958995095
1output_98_Fragments_.xyz,0.02776673793305816,-5.07689,7.493700383413786
1output_278_Fragments_.xyz,0.03840528695378232,-0.3710800000000002,7.320688087049816
2output_35_Fragments_.xyz,0.041723771064192804,-2.2152999999999974,6.341874618530431
1output_54_Fragments_.xyz,0.1329945574239816,-1.3600999999999979,8.555289108647417
1output_333_Fragments_.xyz,0.08779719746390047,2.8505100000000017,7.027311536594364
2output_406_Fragments_.xyz,0.07781227487267951,1.0889400000000005,7.015230623114972
1output_184_Fragments_.xyz,0.06061756542663808,-0.03886000000000012,6.772397070725348
1output_62_Fragments_.xyz,0.17763079227016954,-1.4648799999999975,8.718071362084581
1output_10_Fragments_.xyz,0.0413169080684383,2.433230000000001,5.860398657773548
2output_429_Fragments_.xyz,0.03683641463266301,2.8232200000000014,6.309770983967592
1output_109_Fragments_.xyz,0.08509310736437972,2.9154100000000005,6.742944868531089
1output_345_Fragments_.xyz,0.054111277637709315,-1.0304899999999995,6.893286338781396
1output_317_Fragments_.xyz,0.031286434869562,-0.3871599999999996,6.77180468161895
1output_378_Fragments_.xyz,0.11030694290020146,-0.16474999999999834,8.35400211594309
1output_69_Fragments_.xyz,0.06579240008339952,1.6301300000000005,7.00687273981305
1output_93_Fragments_.xyz,0.032777455943596226,0.65345,6.372732322060186
1output_313_Fragments_.xyz,0.0791168200283395,0.5890200000000001,7.434074839984139
1output_227_Fragments_.xyz,0.08400197633293185,-1.0094799999999982,8.416250174673369
