Molecule,QED,LogP,SA
2output_221_Fragments_.xyz,0.14338395970507808,-1.7421999999999982,8.433919469141332
2output_281_Fragments_.xyz,0.05125536712355414,1.3246200000000001,6.8923302197762
2output_351_Fragments_.xyz,0.04709525801546917,0.5845500000000001,6.777534187447795
2output_418_Fragments_.xyz,0.07766370848594593,-2.268309999999998,8.387479670584398
2output_779_Fragments_.xyz,0.040600970278388264,-1.9543799999999998,6.44916050272475
2output_298_Fragments_.xyz,0.04599306123062434,1.1377599999999999,5.293360416946357
2output_638_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_711_Fragments_.xyz,0.20919722230977797,-1.0094799999999977,8.916993003350514
2output_87_Fragments_.xyz,0.04370308989828222,2.01053,7.131815008523717
2output_860_Fragments_.xyz,0.06579240008339952,1.6301300000000005,7.00687273981305
2output_687_Fragments_.xyz,0.04709525801546917,0.5845500000000001,6.777534187447795
2output_302_Fragments_.xyz,0.04309005923028721,2.211420000000001,7.793657285706992
2output_975_Fragments_.xyz,0.050518857736061476,1.4162400000000006,3.9459032996462655
2output_230_Fragments_.xyz,0.06613588577559665,2.10364,6.75867209947342
2output_964_Fragments_.xyz,0.06664508950648668,1.6785900000000007,7.637662019824892
2output_149_Fragments_.xyz,0.04199788872138412,1.0819400000000006,7.873856926661476
2output_267_Fragments_.xyz,0.13888295162795078,-3.457309999999998,8.435460189658428
2output_955_Fragments_.xyz,0.05173631069946361,2.4655300000000007,6.824961313864347
2output_735_Fragments_.xyz,0.042760693431851585,2.1864300000000005,6.07121724319855
2output_897_Fragments_.xyz,0.06579240008339952,1.6301300000000003,7.00687273981305
2output_239_Fragments_.xyz,0.18920418772390435,-0.30932999999999855,8.918893289508862
2output_684_Fragments_.xyz,0.0993769719356004,-3.219899999999998,8.36692496477801
2output_379_Fragments_.xyz,0.04667479773556699,0.04373999999999966,6.543167141290657
2output_974_Fragments_.xyz,0.1874505520293731,-0.9281899999999977,8.511220202492142
2output_848_Fragments_.xyz,0.19555200052665286,-0.6793199999999981,8.440458282926215
2output_812_Fragments_.xyz,0.12690276418178548,-3.012489999999999,8.401225390182464
2output_338_Fragments_.xyz,0.11030694290020146,-0.16474999999999834,8.35400211594309
2output_450_Fragments_.xyz,0.13615433455535017,-1.7057399999999983,8.542727794685261
2output_967_Fragments_.xyz,0.14891464176891356,-3.168609999999998,8.491660350528651
2output_35_Fragments_.xyz,0.04101769640957234,0.8420299999999998,7.910726148327607
2output_367_Fragments_.xyz,0.03921005184902206,0.9832200000000001,7.2239583242836956
2output_389_Fragments_.xyz,0.035562494820936416,-3.010769999999999,7.254087306827531
2output_406_Fragments_.xyz,0.12970543023053796,-0.703669999999998,8.36654456869319
2output_791_Fragments_.xyz,0.03730910710293277,0.12393999999999994,6.6106830532455945
2output_529_Fragments_.xyz,0.11441785232609179,-3.9241699999999975,9.004937260942835
2output_92_Fragments_.xyz,0.03909652699505453,0.5845500000000001,6.708796369653118
2output_399_Fragments_.xyz,0.12270298629963787,-0.5531999999999984,8.356662594831162
2output_703_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_661_Fragments_.xyz,0.12019174529099479,-2.976029999999998,8.482738090532909
2output_679_Fragments_.xyz,0.1258212177580225,-2.018149999999998,8.807731434585456
2output_642_Fragments_.xyz,0.04743351157203818,1.5401200000000006,7.846307855355369
2output_74_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_657_Fragments_.xyz,0.046601670452353416,1.20616,5.1831294845109825
2output_260_Fragments_.xyz,0.14473151541838356,-1.7300899999999975,8.496238011708945
2output_429_Fragments_.xyz,0.03546677896247148,0.08182000000000011,7.705420846711653
2output_662_Fragments_.xyz,0.04800873529514449,0.5400399999999999,7.809657459903456
2output_603_Fragments_.xyz,0.09575383576085382,-2.1870199999999977,8.389384143021422
2output_583_Fragments_.xyz,0.038863109971791925,1.4490400000000003,7.483437479443399
2output_553_Fragments_.xyz,0.06841209173710441,2.373720000000001,7.046812394063583
2output_30_Fragments_.xyz,0.050744913154763954,2.55262,7.130888925924477
2output_940_Fragments_.xyz,0.05059697941930054,1.8396400000000004,4.641365191168717
2output_56_Fragments_.xyz,0.03952711116392316,1.2694500000000002,7.270174301433371
2output_279_Fragments_.xyz,0.04243768913247298,3.0878200000000007,7.12896764285147
2output_284_Fragments_.xyz,0.031600328260857,-0.41044,6.6645857428693205
2output_439_Fragments_.xyz,0.06579240008339952,1.6301300000000003,7.00687273981305
2output_782_Fragments_.xyz,0.17305779335075314,-1.730089999999998,8.49769166170457
2output_374_Fragments_.xyz,0.03747763314825435,0.35755000000000026,6.003736981279011
2output_559_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_88_Fragments_.xyz,0.047517465259343986,-2.528689999999999,7.612275266194006
2output_22_Fragments_.xyz,0.050314998822911794,1.4803300000000004,7.2513977828818215
2output_526_Fragments_.xyz,0.04709525801546917,0.5845500000000001,6.777534187447795
2output_393_Fragments_.xyz,0.04709525801546917,0.5845500000000001,6.777534187447795
2output_569_Fragments_.xyz,0.04314078467847033,2.0229200000000005,7.350060401004938
2output_655_Fragments_.xyz,0.12069224298684586,-1.1519499999999985,8.459867850512182
2output_1023_Fragments_.xyz,0.2257176054559146,0.18493000000000137,8.775978750764608
2output_926_Fragments_.xyz,0.04572631142885055,0.4419499999999998,7.727247714427961
2output_1012_Fragments_.xyz,0.14338395970507808,-1.7421999999999982,8.433919469141332
2output_861_Fragments_.xyz,0.03450543618627242,-1.4761799999999998,7.794881972642151
2output_198_Fragments_.xyz,0.04709525801546917,0.5845500000000001,6.777534187447795
2output_178_Fragments_.xyz,0.10645352681264166,-4.038909999999998,8.451380436518726
2output_270_Fragments_.xyz,0.06413408757556067,0.7848399999999996,6.943288031533736
2output_521_Fragments_.xyz,0.033974867838031435,0.5655600000000001,6.005998877629838
2output_235_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_658_Fragments_.xyz,0.04342658317498996,2.4715100000000003,6.2622785223946655
2output_103_Fragments_.xyz,0.13865126623090981,-1.5675099999999973,8.53408187854842
2output_316_Fragments_.xyz,0.1521577435122885,-1.7421999999999982,8.441195738075727
2output_157_Fragments_.xyz,0.040600970278388264,-1.9543799999999996,6.44916050272475
2output_362_Fragments_.xyz,0.11241249371738317,-1.8234899999999983,8.373425588637932
2output_917_Fragments_.xyz,0.03818963784346929,-0.44876999999999956,7.055304794344589
2output_29_Fragments_.xyz,0.06425067347985994,1.5383000000000004,7.326306485286702
2output_965_Fragments_.xyz,0.08528306133291658,1.6533499999999999,7.926424131715437
2output_516_Fragments_.xyz,0.04037920205925562,1.7616100000000012,7.161843202686386
2output_976_Fragments_.xyz,0.03634581228216151,2.4106400000000003,6.867657534182282
2output_428_Fragments_.xyz,0.05866170196966204,1.17983,7.678263070632664
2output_843_Fragments_.xyz,0.06643321974971979,2.931430000000001,7.109648444461825
2output_371_Fragments_.xyz,0.04686440012202478,-2.6074699999999984,6.488954967371782
2output_823_Fragments_.xyz,0.12970543023053796,-0.703669999999998,8.36654456869319
2output_317_Fragments_.xyz,0.04305839675310981,1.9777400000000007,5.938343888729719
2output_107_Fragments_.xyz,0.13497012302303704,-1.787029999999998,8.469710492535484
2output_483_Fragments_.xyz,0.03254823112602166,-0.06255000000000004,5.993840881817913
2output_785_Fragments_.xyz,0.049985785420527826,1.2917400000000006,5.818937311190581
2output_444_Fragments_.xyz,0.06579240008339952,1.6301300000000003,7.00687273981305
2output_381_Fragments_.xyz,0.16500891146103863,-2.1300799999999978,8.491591692716172
2output_794_Fragments_.xyz,0.07961048305789345,-2.0487899999999977,8.46949299331172
2output_164_Fragments_.xyz,0.04709525801546917,0.5845500000000003,6.777534187447795
2output_192_Fragments_.xyz,0.12408152783632533,-0.9915899999999981,8.295652496954675
2output_261_Fragments_.xyz,0.041600865371632205,-1.1926699999999997,7.321022018987611
2output_620_Fragments_.xyz,0.089127258040045,-1.0793099999999978,8.358781863545504
2output_70_Fragments_.xyz,0.03803937228602486,1.0483200000000004,7.84713101580079
2output_527_Fragments_.xyz,0.042069087814636266,-1.13896,6.029711821281459
2output_234_Fragments_.xyz,0.03741942954096021,-0.49115000000000014,6.267664680465658
2output_626_Fragments_.xyz,0.06523677345023192,2.5406300000000006,7.458406481408497
2output_899_Fragments_.xyz,0.04044740622787911,-1.3753699999999993,7.695530458617065
2output_363_Fragments_.xyz,0.03982807115910505,-0.07399000000000003,7.124103286121369
2output_726_Fragments_.xyz,0.066370239123649,2.1816300000000006,7.385624098239474
2output_426_Fragments_.xyz,0.08068577170388055,2.0156300000000007,7.170727701092602
2output_277_Fragments_.xyz,0.06534971566366612,2.083830000000001,6.732013447740787
2output_161_Fragments_.xyz,0.030802956404480098,-0.54095,8.028827441760345
2output_979_Fragments_.xyz,0.11775706685216314,-0.9102999999999981,8.30906484051699
2output_224_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
2output_673_Fragments_.xyz,0.05099224649969087,1.8451200000000003,7.140692018273067
2output_754_Fragments_.xyz,0.10503928252182992,-1.949609999999998,8.350470498133323
2output_215_Fragments_.xyz,0.16266656791130746,-1.6609099999999979,8.48162091323637
2output_470_Fragments_.xyz,0.03450258924667245,0.8760200000000004,8.30249699546815
2output_434_Fragments_.xyz,0.11804881504132606,-4.727599999999998,8.43049742576862
2output_304_Fragments_.xyz,0.05955436323610097,0.8586200000000006,7.958790870913037
2output_580_Fragments_.xyz,0.03234739287615183,-3.84905,7.889641641367396
2output_144_Fragments_.xyz,0.04556757105008306,0.40064000000000005,7.491879018097386
2output_432_Fragments_.xyz,0.06579240008339952,1.6301300000000005,7.00687273981305
2output_386_Fragments_.xyz,0.0798827410778046,-0.7720699999999979,8.435364157432096
2output_919_Fragments_.xyz,0.04307837022848011,1.9732500000000004,5.267166964758866
2output_589_Fragments_.xyz,0.04346017302005671,-0.10665000000000036,7.723414673481189
2output_753_Fragments_.xyz,0.14338395970507808,-1.7421999999999984,8.433919469141332
2output_345_Fragments_.xyz,0.04999887138412935,1.48611,7.407474148564436
2output_710_Fragments_.xyz,0.03442185282604056,0.41074,7.8607373534669165
2output_877_Fragments_.xyz,0.03448968934430353,1.0095400000000003,6.732741825385886
2output_108_Fragments_.xyz,0.11477487847048565,-1.4614299999999973,9.020273892664127
2output_397_Fragments_.xyz,0.030439615808439995,-0.8858600000000001,6.426078029074758
2output_666_Fragments_.xyz,0.14433726960514845,-2.831579999999999,8.538170748089728
2output_506_Fragments_.xyz,0.12749347160553698,-0.8418999999999981,8.307504532986048
